CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425148,973;4582559,395;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425173,461;4582805,78;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425179,503;4582083,344;BUS -63-68-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425188,319;4585316,412;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425204,019;4582531,995;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425206,313;4585307,343;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425215,484;4582994,871;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425231,487;4585191,334;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425232,44;4585178,753;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425240,324;4582119,041;BUS -22-63-68-78-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425245,314;4585202,347;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425273,312;4582167,555;BUS -22--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425323,607;4585365,328;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425325,48;4582298,956;BUS -63-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425340,318;4582479,639;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425366,836;4585331,755;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425397,812;4582409,097;BUS -22-60-63-68-75-78-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425405,6;4582362,217;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425424,32;4584014,121;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425461,435;4582256,42;BUS -60-75-113-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425465,295;4582709,455;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425473,324;4583256,933;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425477,315;4585711,588;BUS -118-128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425482,309;4584008,86;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425492,626;4582435,598;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425493,464;4581657,287;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425501,981;4581692,403;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425502,225;4581893,146;BUS -67-L97-L79--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425502,333;4585750,747;BUS -118-128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425528,26;4582637,833;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425545,43;4581932,929;BUS -67-L97-L79--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425549,014;4582276,183;BUS -54-75-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425575,315;4584100,836;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425583,316;4584175,97;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425588,319;4583181,358;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425603,874;4582991,759;BUS -113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425606,379;4582632,802;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425616,325;4582628,133;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425626,326;4583971,514;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425633,625;4581260,236;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425639,316;4582134,694;BUS -54-75-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425681,192;4582429,293;BUS -54-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425682,257;4581977,393;BUS -67--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425683,331;4584099,059;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425691,32;4582455,596;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425701,613;4582015,74;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425710,307;4576178,041;BUS -21--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425726,314;4576174,435;BUS -21--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425726,315;4583989,806;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425727,323;4585517,595;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425733,917;4585511,323;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425747,436;4582349,76;BUS -54-60-75-113-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425748,819;4581246,503;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425753,612;4582758,677;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425757,49;4582040,719;BUS -H6--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425761,349;4582807,621;BUS -113--;;
