entityid,dte,barris,mitjana
9843cbe6-0298-434c-b825-75a5197463ef,8,52. la Prosperitat,1973
9a0c484f-060a-4feb-848c-44cfd3d38e4c,3,12. la Marina del Prat Vermell-AEI Zona Franca,
9ca9f0c9-eacd-4eb6-8c33-899771ae4fae,3,16. la Bordeta,2233
9f220310-4507-4a5f-aed6-37da879c754c,,,
a2c7bb3f-070d-4820-92e2-561f26786e80,9,61. la Sagrera,2475
a321c781-373a-4d3f-a8e7-661b4a52a3e4,,,
a59e4f11-23c7-4b30-b2bc-459dbcf33c23,,,
a5ec27f5-f9bd-4398-acb0-e1aa93e9a95e,4,21. Pedralbes,4946
a734fa02-14b4-491b-ad00-daa5508e7ba7,6,31. la Vila de Gràcia,3174
abc02530-6a3f-4ad4-a79b-d6ee0f0ffe1e,6,30. la Salut,2769
ac7cc401-d2aa-430c-8ae1-efd6a53c3dd4,3,17. Sants-Badal,2623
afc328be-35de-4515-9709-f8e1bab06e8b,,,
b00c34ee-4aee-452e-943f-899e9a7e80af,8,51. Verdun,1909
b088c7e5-a001-4c45-b8e7-a2038487a4b1,1,1. el Raval,2401
b4752ce8-da87-4310-828a-150e12e47203,7,39. Sant Genís dels Agudells (1),1943
b4b2f873-92eb-4b0d-a59d-3af06e0879b2,7,41. la Vall d Hebron,
b7b514a2-588a-400f-81db-8143169f20e7,10,71. Provençals del Poblenou,2603
b9e397c7-b84b-4b17-820b-413741fcc9ac,9,63. Navas,
b9f7c302-6d6d-4e55-938b-a117de35c3e3,,,
b9f88dd4-07d3-4f75-b536-cbf7e9be459b,5,26. Sant Gervasi-Galvany,3882
bab5ef36-70f3-493b-9cd6-e08c8948ae9c,6,32. el Camp d en Grassot i Gràcia Nova,2846
bc11faa2-f3e1-42be-b963-45bfce9f6bca,2,5. el Fort Pienc,2917
bf57d2be-60ab-4c60-ab9e-080baf389bb6,5,22. Vallvidrera  el Tibidabo i les Planes,
c500db02-3161-4567-8c4f-ed4f868779c1,7,42. la Clota,
c5016f8c-a3e9-4bc8-801d-f1fc0bdb7aba,3,17. Sants-Badal,2623
c7ea30a8-eef8-4055-9581-786e293dddcb,8,49. Canyelles (3),
c931ef75-a5ad-4851-b96e-d8a3bef54597,9,60. Sant Andreu,2178
c95680ea-ca40-4239-b4a0-569a1d2a8b76,3,11. el Poble Sec-AEI Parc Montjuïc,2310
caeff55c-91be-465d-ab09-1fc5879fbb2c,7,34. Can Baró,2435
cc269910-92ff-4bd9-a2e0-26c8c77fd3e1,,,
d13fcd7e-fa56-41ee-a6c6-fc3303bc3c1b,5,23. Sarrià,4447
d1c7c79d-2e0e-4d13-8bba-2454bff2d0af,5,25. Sant Gervasi-la Bonanova,3809
d24ab1b4-d2e7-4d52-8653-d82837633db2,2,6. la Sagrada Família,2869
d4e97ca7-ebf1-47e7-9480-0214aad933be,8,50. les Roquetes (3),1745
d6471ad7-aa2a-4601-8a98-3c5e27f82c84,8,53. la Trinitat Nova,
d6f01b35-bfdb-49f8-9dfb-7409c0da51ff,1,2. el Barri Gòtic,3192
d72304c1-bec5-4da2-a34d-b5825640e356,8,49. Canyelles (3),
d72628f7-08a7-47a0-a86a-9d1a997fc841,8,54. Torre Baró (4),
d7c6b163-8c11-400d-8324-6b5a659ec82b,2,9. la Nova Esquerra de l Eixample,3016
d872960c-e53d-45df-8500-84f8313d82e2,8,51. Verdun,1909
d8a1807c-3d34-4130-9a06-e6a196c3d5e7,9,62. el Congrés i els Indians,
d8b7d58b-beff-4b16-9993-515f45aa14c2,4,19. les Corts,3536
dc87a009-e1b4-4cb8-8c4b-65bafbbde3bb,3,11. el Poble Sec-AEI Parc Montjuïc,2310
de0adefc-dd03-496f-b4e2-da0db71124e5,10,68. el Poblenou,2942
dfe27361-c431-45e6-99ee-699dacd3900a,2,10. Sant Antoni,2863
e0525b9c-96fb-4c25-90b3-91f353e1c5be,,,
e394887e-9533-4838-8f16-0e4295cdacfc,7,43. Horta,2269
e3a04d99-4054-4b6a-80c7-05e23d3c2fc7,7,43. Horta,2269
e3ada393-f41e-474e-b56a-945d17e9deb6,2,7. la Dreta de l Eixample,
e5ce1d6e-3a3f-477b-8744-ed5584993deb,8,44. Vilapicina i la Torre Llobeta,2200
e60a5e05-f206-4f7b-8c18-d0252f1b470b,9,59. el Bon Pastor,1973
e62aeae6-f431-4026-ba29-c3ec30389e90,6,28. Vallcarca i els Penitents,3118
e745e15f-3c50-422c-8bab-6c11d51377b5,1,3. la Barceloneta,3490
e7e2c8f9-ad37-4e73-9687-91fab1fd83d2,,,
e9c7ba13-d75e-447c-a025-64b4f45ba679,,,
eace7a71-1fe0-450b-a033-53bb0c592de0,9,58. Baró de Viver,
eb9d08c0-60d5-4529-9fb4-1463f8410a07,8,45. Porta,2058
ebe30010-9b38-4667-947a-2f2ead384793,7,39. Sant Genís dels Agudells (1),1943
eea62e00-26e9-428e-810c-1b9d8ca533c3,8,54. Torre Baró (4),
f17629d1-4183-4c7b-9d12-c5d3df28e2d2,,,
f33f03ff-d4fa-455d-8ef1-8ce577901507,10,64. el Camp de l Arpa del Clot,2418
f4af4d57-68f9-4c0c-841d-5eb1c5de5bc5,7,38. la Teixonera,1999
f5a5a1ba-4323-4d92-9dbc-230378f20194,1,2. el Barri Gòtic,3192
fa687b75-7131-4149-b5ad-02c701a57d26,9,59. el Bon Pastor,1973
fac497c0-e30c-44e6-98cb-2a63b86918fb,10,67. la Vila Olímpica del Poblenou,3987
fc5c8186-2bfd-422a-9055-3ad3392bf096,10,72. Sant Martí de Provençals,
fe2b48cc-8984-4994-940a-4816d5f004d0,8,45. Porta,2058
fe2fade7-b740-4e24-832f-f70f35f93a78,1,1. el Raval,2401
ffa5ad58-f1d8-45e2-9a11-8e096375f6dd,1,4. Sant Pere  Santa Caterina i la Ribera,3202
