,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
1102747,0.0,41.395491,2.175729,3.0,251.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,76.71,9.0,3.50274725275,282.375
1105032,0.0,41.375278,2.154571,3.0,150.0,Apartment,3.5,Entire home/apt,Sant Antoni,29.32,5.5,1.33928571429,103.125
1106358,1.0,41.403997,2.180265,2.0,66.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,11.23,30.0,21.5476973684,165.0
1109472,10.0,41.385926,2.168749,3.0,65.0,Apartment,4.0,Entire home/apt,la Dreta de l'Eixample,83.01,52.51,9.16895604396,426.64375
1109989,0.0,41.377314,2.164446,2.0,75.0,Apartment,5.0,Entire home/apt,Sant Antoni,81.1,49.17,2.5641025641,307.3125
1111201,0.0,41.394016,2.191163,7.0,110.0,Apartment,3.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.18,6.0,100.0,192.5
1111226,0.0,41.393749,2.152,3.0,60.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,92.88,2.0,20.2346041056,15.0
1111408,0.0,41.397648,2.168035,3.0,46.0,Apartment,4.0,Entire home/apt,la Dreta de l'Eixample,87.67,4.0,3.79213483146,23.0
1111412,0.0,41.404466,2.138591,3.0,72.0,Apartment,4.5,Entire home/apt,Sant Gervasi - la Bonanova,82.19,6.0,10.4120234604,54.0
1111418,0.0,41.39218,2.151638,3.0,60.0,Apartment,4.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,92.05,2.0,8.33333333333,15.0
1111989,1.0,41.429621,2.182849,3.0,106.0,Apartment,5.0,Entire home/apt,Vilapicina i la Torre Llobeta,99.73,8.5,10.7006688963,112.625
1112838,1.0,41.374795,2.15566,5.0,105.0,Apartment,4.5,Entire home/apt,el Poble Sec,43.29,22.0,6.01265822785,481.25
1113540,0.0,41.375613,2.146819,2.0,75.0,Apartment,4.0,Entire home/apt,Hostafrancs,77.81,21.0,32.0224719101,131.25
1115149,1.0,41.371782,2.158322,1.0,99.0,Apartment,4.5,Entire home/apt,el Poble Sec,99.73,33.18,9.14634146341,136.8675
1115780,1.0,41.416337,2.184182,2.0,39.0,Apartment,4.5,Entire home/apt,el Camp de l'Arpa del Clot,83.29,43.67,19.1860465116,141.9275
1119598,0.0,41.402677,2.172221,3.0,100.0,Apartment,4.0,Entire home/apt,la Sagrada Famlia,96.16,6.0,6.46022727273,75.0
1124129,0.0,41.406012,2.164238,2.0,65.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,93.42,46.0,3.2967032967,249.166666667
1125212,0.0,41.387279,2.151528,3.0,320.0,Apartment,5.0,Entire home/apt,la Nova Esquerra de l'Eixample,97.53,9.0,59.0769230769,360.0
112538,0.0,41.405491,2.173683,3.0,105.0,Apartment,4.0,Entire home/apt,la Sagrada Famlia,93.42,23.67,1.23626373626,310.66875
1125667,0.0,41.434066,2.18529,2.0,67.0,Apartment,4.0,Entire home/apt,Sant Andreu,24.66,5.0,0.980392156863,27.9166666667
1129808,1.0,41.402929,2.161867,4.0,83.0,Apartment,3.5,Entire home/apt,la Vila de Grcia,97.53,6.0,3.72928176796,83.0
1132445,0.0,41.413244,2.176381,3.0,100.0,Apartment,4.5,Entire home/apt,el Guinard,64.93,9.5,4.29936305732,118.75
1134015,1.0,41.413438,2.163565,5.0,70.0,Apartment,4.5,Entire home/apt,el Baix Guinard,99.18,4.0,7.22083333333,58.3333333333
1136172,0.0,41.402467,2.20828,2.0,103.0,Apartment,4.5,Entire home/apt,el Poblenou,24.38,19.0,13.4005524862,163.083333333
1136384,1.0,41.389003,2.159995,4.0,89.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,90.68,23.0,11.6043956044,341.166666667
1136888,0.0,41.434466,2.186713,2.0,67.0,Apartment,4.0,Entire home/apt,Sant Andreu,23.56,2.0,11.2399328859,11.1666666667
1136951,0.0,41.397543,2.183444,2.0,76.0,Apartment,4.5,Entire home/apt,el Fort Pienc,24.38,9.0,2.23880597015,57.0
1136952,21.0,41.398724,2.183328,2.0,76.0,Apartment,5.0,Entire home/apt,el Fort Pienc,22.47,5.0,14.9777448071,31.6666666667
1137154,0.0,41.40465,2.208374,2.0,76.0,Apartment,4.5,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,23.56,11.0,3.21100917431,69.6666666667
1137644,0.0,41.426791,2.18971,2.0,82.0,Apartment,4.0,Entire home/apt,la Sagrera,23.29,11.0,5.32544378698,75.1666666667
1137718,0.0,41.426416,2.188062,3.0,82.0,Apartment,4.0,Entire home/apt,la Sagrera,0.27,3.0,94.7019230769,30.75
1137759,0.0,41.425177,2.188604,2.0,88.0,Apartment,4.5,Entire home/apt,la Sagrera,0.27,7.5,3.70879120879,55.0
1139069,0.0,41.385023,2.132223,3.0,80.0,Apartment,4.5,Entire home/apt,les Corts,31.51,8.5,64.6985294118,85.0
1139434,0.0,41.400078,2.205686,2.0,78.0,Apartment,4.5,Entire home/apt,el Poblenou,96.44,15.16,14.7887323944,98.54
1139598,1.0,41.369375,2.140408,3.0,150.0,Apartment,4.5,Entire home/apt,la Bordeta,99.73,8.0,7.30519480519,150.0
1142631,1.0,41.407073,2.137422,3.0,100.0,Apartment,4.5,Entire home/apt,Sant Gervasi - la Bonanova,36.16,8.0,23.9130434783,100.0
114314,2.0,41.385042,2.181468,1.0,91.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",98.63,17.33,5.56730769231,65.7095833333
1145940,1.0,41.408344,2.166292,2.0,175.0,Apartment,5.0,Entire home/apt,el Camp d'en Grassot i Grcia Nova,81.64,22.33,15.8213114754,325.645833333
1146150,0.0,41.380544,2.178014,2.0,110.0,Apartment,4.5,Entire home/apt,el Barri Gtic,92.33,33.65,4.53296703297,308.458333333
1146219,1.0,41.408961,2.14036,3.0,65.0,Apartment,4.5,Entire home/apt,el Putxet i el Farr,89.59,7.0,1.90217391304,56.875
1147500,0.0,41.38933,2.166117,3.0,85.0,Apartment,4.0,Entire home/apt,la Dreta de l'Eixample,92.6,12.0,6.03448275862,127.5
1149160,0.0,41.372579,2.147961,2.0,94.0,House,4.0,Entire home/apt,la Font de la Guatlla,14.25,32.83,4.12087912088,257.168333333
1149191,0.0,41.410374,2.140466,2.0,117.0,Apartment,5.0,Entire home/apt,el Putxet i el Farr,99.73,9.0,9.15178571429,87.75
1149756,1.0,41.37727,2.172794,2.0,61.0,Apartment,4.5,Entire home/apt,el Raval,77.81,28.0,21.3782608696,142.333333333
1150128,3.0,41.410441,2.139737,2.0,96.0,Apartment,5.0,Entire home/apt,el Putxet i el Farr,93.97,1.0,19.7742537313,8.0
1150368,1.0,41.385093,2.162528,3.0,150.0,Apartment,5.0,Entire home/apt,Sant Antoni,84.38,15.0,3.09065934066,281.25
1153834,1.0,41.404616,2.158843,9.0,55.0,Apartment,4.0,Entire home/apt,la Vila de Grcia,77.53,2.0,0.824175824176,41.25
1154032,1.0,41.389844,2.154459,1.0,61.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,90.14,34.51,88.5857142857,87.7129166667
1154761,0.0,41.38591,2.159124,7.0,88.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,97.81,11.5,7.15909090909,295.166666667
1155115,1.0,41.428134,2.170977,1.0,80.0,Apartment,4.0,Entire home/apt,Vilapicina i la Torre Llobeta,90.96,14.0,0.854700854701,46.6666666667
1156223,1.0,41.375361,2.165406,3.0,104.0,Apartment,4.5,Entire home/apt,Sant Antoni,98.9,11.5,2.53521126761,149.5
1159418,1.0,41.412009,2.140763,4.0,100.0,Apartment,4.5,Entire home/apt,Vallcarca i els Penitents,50.41,10.5,1.97368421053,175.0
1159442,1.0,41.402624,2.147997,2.0,80.0,Apartment,5.0,Entire home/apt,el Putxet i el Farr,83.56,2.0,4.37317784257,13.3333333333
1161251,1.0,41.399581,2.157878,2.0,85.0,Apartment,5.0,Entire home/apt,la Vila de Grcia,99.73,13.51,17.2292307692,95.6958333333
1161417,1.0,41.401728,2.164517,3.0,80.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,92.6,37.35,10.5371900826,373.5
1162044,2.0,41.407364,2.173352,2.0,99.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,82.74,34.67,95.2428571429,286.0275
1162470,2.0,41.387362,2.174295,1.0,150.0,Apartment,4.5,Entire home/apt,el Barri Gtic,83.56,32.17,26.9103585657,201.0625
1166059,1.0,41.399647,2.154797,3.0,100.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,99.73,11.0,2.47252747253,137.5
1166491,0.0,41.40566,2.145328,1.0,76.0,Apartment,4.0,Entire home/apt,el Putxet i el Farr,75.62,3.5,7.3275862069,11.0833333333
1166882,1.0,41.404823,2.176529,4.0,85.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,68.77,21.0,21.4098591549,297.5
1168648,0.0,41.399802,2.120108,3.0,150.0,Apartment,4.5,Entire home/apt,Sarri,99.73,10.0,7.91194029851,187.5
1169191,1.0,41.402622,2.173658,2.0,291.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,92.05,20.5,17.8676470588,497.125
117010,0.0,41.407455,2.174007,3.0,110.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,99.73,17.0,13.0398773006,233.75
1171915,1.0,41.399939,2.156272,2.0,75.0,Loft,4.5,Entire home/apt,la Vila de Grcia,94.52,49.17,23.5927152318,307.3125
1176432,1.0,41.421182,2.188184,6.0,240.0,Apartment,4.5,Entire home/apt,la Sagrera,99.73,3.0,47.8734939759,180.0
1176883,1.0,41.387779,2.175231,3.0,150.0,Apartment,5.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",73.42,35.33,7.57024793388,662.4375
117973,1.0,41.393871,2.189316,2.0,150.0,Loft,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,7.5,1.35951661631,93.75
118126,1.0,41.398825,2.15534,4.0,90.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,87.95,30.92,8.18181818182,463.8
118228,0.0,41.405928,2.175747,3.0,110.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,99.73,2.0,4.29799426934,27.5
1184432,0.0,41.413982,2.216943,3.0,85.0,Apartment,4.0,Entire home/apt,el Bess i el Maresme,60.27,10.5,3.70879120879,111.5625
1186442,0.0,41.376672,2.162637,3.0,115.0,Apartment,5.0,Entire home/apt,Sant Antoni,96.16,2.0,10.5988538682,28.75
1186506,0.0,41.376836,2.160611,3.0,115.0,Apartment,4.0,Entire home/apt,Sant Antoni,97.26,6.0,2.12464589235,86.25
1186521,10.0,41.376842,2.16262,3.0,110.0,Apartment,4.0,Entire home/apt,Sant Antoni,82.19,2.0,18.5344827586,27.5
1186539,0.0,41.376989,2.162981,3.0,105.0,Apartment,4.5,Entire home/apt,Sant Antoni,92.33,7.5,4.94505494505,98.4375
1186559,0.0,41.376387,2.161371,3.0,105.0,Apartment,4.5,Entire home/apt,Sant Antoni,93.7,4.5,5.89887640449,59.0625
1188233,0.0,41.374122,2.164322,1.0,100.0,Apartment,4.5,Entire home/apt,el Poble Sec,93.97,10.0,16.2857142857,41.6666666667
1188839,0.0,41.39922,2.157605,1.0,70.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,89.04,37.33,5.72058823529,108.879166667
1193667,0.0,41.377767,2.136693,3.0,75.0,Apartment,5.0,Entire home/apt,Sants,99.45,25.5,5.76923076923,239.0625
1193842,1.0,41.371523,2.161161,5.0,90.0,Apartment,5.0,Entire home/apt,el Poble Sec,91.78,10.83,5.75069252078,203.0625
119408,1.0,41.378521,2.167181,2.0,64.0,Apartment,4.5,Entire home/apt,el Raval,68.77,45.03,7.48763736264,240.16
1196112,3.0,41.42896,2.18195,2.0,80.0,Apartment,4.0,Entire home/apt,Vilapicina i la Torre Llobeta,99.73,6.0,17.315625,40.0
1198958,0.0,41.408201,2.163554,2.0,73.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,91.78,17.67,18.8446153846,107.4925
1199380,0.0,41.39263,2.170911,1.0,99.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,93.15,40.5,12.8808864266,167.0625
1199382,0.0,41.395774,2.170537,1.0,129.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,89.32,28.34,22.8813559322,152.3275
1199594,1.0,41.385951,2.172763,2.0,75.0,Apartment,4.5,Entire home/apt,el Barri Gtic,82.74,47.5,2.60115606936,296.875
1199889,1.0,41.390683,2.17393,2.0,119.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,99.45,18.32,5.75284090909,181.673333333
1201058,1.0,41.384227,2.16403,3.0,81.0,Apartment,4.0,Entire home/apt,el Raval,90.68,3.0,10.2272727273,30.375
1201871,0.0,41.399321,2.147331,3.0,87.0,Apartment,4.5,Entire home/apt,Sant Gervasi - Galvany,90.41,18.0,9.48033707865,195.75
1202134,0.0,41.386073,2.181516,3.0,88.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",90.14,34.98,9.20192307692,384.78
1202829,2.0,41.406567,2.200127,2.0,69.0,Apartment,5.0,Entire home/apt,el Poblenou,71.23,35.33,13.8140794224,203.1475
1203343,2.0,41.374101,2.165313,4.0,110.0,Apartment,5.0,Entire home/apt,el Poble Sec,36.16,8.0,0.879765395894,146.666666667
1205425,1.0,41.404011,2.155874,7.0,115.0,House,5.0,Entire home/apt,la Vila de Grcia,47.12,5.0,7.34752747253,167.708333333
1206052,1.0,41.409795,2.176183,1.0,80.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,83.84,11.67,7.04776119403,38.9
1207407,0.0,41.398392,2.166037,1.0,129.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,98.9,13.84,21.3164739884,74.39
1207478,0.0,41.381676,2.173883,3.0,150.0,Apartment,4.0,Entire home/apt,el Barri Gtic,41.1,25.5,18.75,478.125
1208106,2.0,41.376231,2.136047,3.0,85.0,Apartment,5.0,Entire home/apt,Sants,99.73,18.17,11.3595041322,193.05625
1208712,0.0,41.420946,2.184483,3.0,105.0,House,4.0,Entire home/apt,Navas,96.44,5.5,12.9237288136,72.1875
1210490,1.0,41.377925,2.18748,4.0,180.0,Apartment,4.0,Entire home/apt,la Barceloneta,85.21,15.0,7.98760330579,450.0
1211499,1.0,41.379365,2.160878,1.0,65.0,Apartment,5.0,Entire home/apt,Sant Antoni,96.44,26.0,1.64835164835,70.4166666667
1215744,0.0,41.380427,2.174919,1.0,35.0,Apartment,4.0,Entire home/apt,el Barri Gtic,82.19,53.67,17.0501432665,78.26875
