room_id,accommodates,bathrooms,bedrooms,cancel_pol,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost
7667139,4.0,0.0,3.0,2,1.0,41.399445,2.158353,5.0,110.0,1,5.0,1,0
3478247,3.0,1.0,1.0,1,2.0,41.370631,2.144703,1.0,54.0,7,4.5,2,0
5104200,3.0,1.0,1.0,2,1.0,41.373068,2.134012,2.0,75.0,1,4.5,1,0
1453455,4.0,1.0,1.0,1,4.0,41.4185,2.163403,2.0,125.0,7,4.5,1,0
10763645,0.0,2.0,3.0,1,2.0,41.389643,2.197544,4.0,195.0,1,5.0,1,0
6656951,5.0,2.0,1.0,1,3.0,41.412385,2.15112,1.0,45.0,1,4.0,2,0
4392787,2.0,2.0,1.0,2,3.0,41.378758,2.15028,1.0,25.0,1,4.5,2,0
198958,0.0,2.0,4.0,2,5.0,41.407087,2.215802,0.0,299.0,1,4.5,1,0
8216047,4.0,1.0,1.0,1,36.0,41.404813,2.172616,3.0,90.0,1,4.0,1,0
10205997,0.0,2.0,2.0,2,2.0,41.377817,2.175862,0.0,95.0,1,4.0,1,0
401246,1.0,1.0,1.0,1,2.0,41.389656,2.178107,0.0,40.0,1,5.0,2,0
4821698,2.0,1.0,1.0,2,3.0,41.383769,2.158182,4.0,65.0,1,0.0,2,0
4658329,2.0,1.0,1.0,2,3.0,41.419037,2.184351,1.0,27.0,1,4.5,2,0
4873734,3.0,1.0,1.0,1,1.0,41.379355,2.191883,3.0,62.0,1,4.0,1,0
11983489,2.0,0.0,1.0,2,1.0,41.3801,2.175038,0.0,31.0,1,0.0,2,0
7513440,2.0,1.0,1.0,3,2.0,41.381745,2.182222,2.0,48.0,1,4.0,2,0
11765100,3.0,1.0,1.0,2,4.0,41.405219,2.167751,1.0,59.0,1,0.0,2,0
10146253,4.0,1.0,1.0,2,1.0,41.381678,2.164153,2.0,55.0,4,5.0,1,0
5543269,2.0,1.0,1.0,2,1.0,41.399132,2.201242,1.0,39.0,2,5.0,2,0
8307926,2.0,1.0,1.0,3,1.0,41.406123,2.175413,1.0,70.0,1,0.0,2,0
3686143,4.0,1.0,2.0,3,1.0,41.38028,2.188316,3.0,46.0,1,5.0,1,0
942953,4.0,1.0,1.0,1,1.0,41.374148,2.154662,1.0,50.0,1,4.5,1,0
5226386,1.0,1.0,1.0,2,1.0,41.373205,2.173539,1.0,28.0,1,5.0,2,0
2159296,4.0,1.0,2.0,1,6.0,41.391543,2.189254,0.0,80.0,1,4.5,1,0
749306,0.0,2.0,2.0,2,1.0,41.39288,2.153163,2.0,105.0,1,4.5,1,0
10003960,2.0,1.0,0.0,2,1.0,41.385977,2.179443,2.0,65.0,1,4.0,1,0
6567519,3.0,1.0,1.0,3,2.0,41.380497,2.173953,1.0,59.0,2,3.5,2,0
11238853,2.0,2.0,1.0,3,1.0,41.420772,2.204869,2.0,35.0,1,5.0,2,0
3943443,2.0,0.0,1.0,2,1.0,41.410531,2.147046,1.0,35.0,1,5.0,2,0
922707,2.0,0.0,1.0,1,1.0,41.404224,2.165642,3.0,44.0,1,4.5,2,0
11643800,4.0,1.0,2.0,3,4.0,41.379888,2.167682,2.0,49.0,1,5.0,1,0
11604822,2.0,1.0,1.0,3,3.0,41.389225,2.160688,2.0,42.0,1,5.0,2,0
2207843,4.0,2.0,2.0,1,3.0,41.381819,2.159859,2.0,298.0,1,5.0,1,0
7522153,2.0,1.0,1.0,1,1.0,41.378451,2.164987,3.0,50.0,1,4.5,1,0
6856939,2.0,1.0,2.0,2,1.0,41.393303,2.158311,1.0,120.0,4,4.0,1,0
11581301,3.0,1.0,0.0,3,1.0,41.388011,2.17782,2.0,80.0,1,0.0,1,0
8914555,1.0,1.0,1.0,2,1.0,41.370649,2.1658,1.0,22.0,1,4.5,2,0
6421320,2.0,1.0,1.0,1,1.0,41.402907,2.159755,4.0,80.0,1,5.0,1,0
7043430,2.0,1.0,1.0,1,3.0,41.37897,2.175504,1.0,48.0,1,4.5,2,0
