,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
8530522,0.0,41.382999,2.158237,3.0,76.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,89.04,5.0,26.9511400651,47.5
8535939,11.0,41.399344,2.157804,1.0,22.0,Apartment,4.5,Shared room,la Vila de Grcia,99.73,5.0,15.7732394366,4.58333333333
8543610,1.0,41.394077,2.173575,1.0,40.0,Apartment,2.0,Private room,la Dreta de l'Eixample,20.27,1.0,12.5776397516,1.66666666667
854754,1.0,41.3919,2.165859,3.0,70.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,68.22,44.01,12.9464285714,385.0875
8549051,1.0,41.378769,2.167207,2.0,100.0,Apartment,4.0,Entire home/apt,el Raval,22.74,5.0,22.7272727273,41.6666666667
8550529,1.0,41.399115,2.163444,1.0,35.0,Apartment,4.5,Private room,la Dreta de l'Eixample,99.45,5.0,100.0,7.29166666667
8554532,2.0,41.421986,2.205391,1.0,25.0,Apartment,5.0,Private room,la Verneda i la Pau,99.73,3.0,17.8571428571,3.125
8560332,0.0,41.39911,2.158227,1.0,19.0,Apartment,3.5,Shared room,la Vila de Grcia,99.73,2.0,36.1603773585,1.58333333333
8560422,1.0,41.410334,2.150721,1.0,25.0,Apartment,4.0,Private room,la Salut,99.45,1.0,15.8501440922,1.04166666667
856159,1.0,41.403028,2.199483,1.0,19.0,Bed & Breakfast,4.5,Private room,el Poblenou,99.73,24.5,35.7883817427,19.3958333333
8562246,1.0,41.422559,2.169273,1.0,29.0,Apartment,5.0,Private room,el Guinard,99.73,2.0,20.4082840237,2.41666666667
8563494,2.0,41.414893,2.189511,1.0,30.0,Apartment,4.5,Private room,Navas,99.73,4.0,34.8101265823,5.0
8567422,4.0,41.380731,2.170112,2.0,60.0,Apartment,4.5,Private room,el Raval,86.58,4.0,100.0,20.0
8573388,1.0,41.386562,2.154837,2.0,69.0,Apartment,4.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,14.52,14.0,13.8972809668,80.5
8579303,1.0,41.391361,2.15489,1.0,25.0,Apartment,4.0,Private room,l'Antiga Esquerra de l'Eixample,92.33,11.0,16.7330677291,11.4583333333
8585995,2.0,41.405629,2.148075,1.0,39.0,Apartment,5.0,Private room,el Putxet i el Farr,20.82,1.0,19.2647975078,1.625
8587389,1.0,41.382686,2.133877,1.0,85.0,Apartment,3.5,Entire home/apt,les Corts,98.9,2.0,12.1212121212,7.08333333333
8593522,0.0,41.382586,2.179222,3.0,125.0,Apartment,4.5,Entire home/apt,el Barri Gtic,93.15,1.0,18.9270833333,15.625
8593855,0.0,41.37948,2.174165,3.0,65.0,Apartment,4.5,Entire home/apt,el Raval,99.45,3.0,32.1428571429,24.375
859813,0.0,41.40089,2.17469,3.0,165.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,82.19,22.5,16.3613861386,464.0625
8599028,0.0,41.415101,2.188755,1.0,13.0,Apartment,4.0,Private room,Navas,97.81,3.0,24.7338709677,1.625
860062,1.0,41.375681,2.124415,1.0,35.0,Apartment,5.0,Private room,Sants - Badal,78.36,6.0,36.7816091954,8.75
8606578,1.0,41.393972,2.191802,2.0,110.0,Loft,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,49.04,6.0,22.0,55.0
8609805,1.0,41.408283,2.173815,1.0,32.0,Apartment,5.0,Private room,la Sagrada Famlia,98.36,6.0,27.5740740741,8.0
861172,2.0,41.374206,2.164473,1.0,75.0,Apartment,4.0,Entire home/apt,el Poble Sec,98.08,14.0,24.8410596026,43.75
8612121,0.0,41.409928,2.173757,1.0,25.0,Apartment,4.0,Private room,la Sagrada Famlia,99.73,7.0,25.2297297297,7.29166666667
861721,0.0,41.390508,2.197351,3.0,198.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,97.53,15.0,28.3653846154,371.25
8621220,1.0,41.387997,2.17715,2.0,69.0,Apartment,5.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",21.64,2.0,17.5595238095,11.5
862524,2.0,41.388585,2.164843,3.0,145.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,99.73,18.16,22.0670391061,329.15
8625967,1.0,41.381347,2.148832,1.0,41.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,18.9,1.0,17.1546961326,1.70833333333
8626546,0.0,41.397185,2.157227,1.0,19.0,Apartment,5.0,Shared room,la Vila de Grcia,98.63,1.0,17.0305676856,0.791666666667
862690,1.0,41.392629,2.194967,3.0,180.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,63.84,8.0,13.7362637363,180.0
8627111,1.0,41.376649,2.168598,3.0,100.0,Apartment,4.5,Entire home/apt,el Raval,18.9,1.0,32.1629526462,12.5
8627926,0.0,41.398486,2.157966,1.0,21.0,Apartment,3.5,Private room,la Vila de Grcia,98.36,1.0,19.5549132948,0.875
8638203,0.0,41.403269,2.151753,3.0,25.0,Apartment,4.0,Private room,la Vila de Grcia,23.01,3.0,100.0,9.375
8638224,0.0,41.39921,2.156551,1.0,23.0,Apartment,4.5,Private room,la Vila de Grcia,97.81,1.0,100.0,0.958333333333
8645309,0.0,41.389989,2.145021,1.0,25.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,96.99,5.0,100.0,5.20833333333
