,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
15188200,1.9,1.0,3.0,44.4,50.0,2.0,12.5,150.0,1,la Barceloneta
3350765,98.1,26.5,1.0,2.1,17.0,53.0,37.5,450.5,1,el Poble Sec
46564220,51.8,8.0,2.0,14.6,61.0,16.0,81.3,976.0,1,el Barri Gtic
4801917,18.6,20.3,2.0,4.2,70.0,40.5,236.3,2835.0,1,la Dreta de l'Eixample
6324464,90.1,17.3,1.0,0.8,61.0,34.5,87.7,1052.6,1,l'Antiga Esquerra de l'Eixample
12861681,36.4,11.0,0.0,2.7,75.0,22.0,0.0,0.0,1,el Raval
12091634,30.7,13.0,3.0,5.0,30.0,26.0,97.5,1170.0,1,la Sagrada Famlia
38315003,24.4,5.5,2.0,2.6,90.0,11.0,82.5,990.0,1,la Barceloneta
1860990,81.2,2.0,3.0,11.5,212.0,4.0,217.5,2610.0,2,la Vila de Grcia
6182351,93.2,0.5,3.0,8.9,108.0,1.0,13.5,162.0,1,Provenals del Poblenou
10719273,99.7,9.3,2.5,1.8,25.0,18.5,84.4,1012.5,2,el Parc i la Llacuna del Poblenou
6521082,82.9,1.3,0.0,9.3,147.4,2.6,0.0,0.0,8,la Nova Esquerra de l'Eixample
28142435,94.5,6.5,1.0,8.3,35.0,13.0,19.0,227.5,1,la Vila de Grcia
9740540,17.4,43.0,0.0,18.2,35.0,86.0,0.0,0.0,2,el Barri Gtic
5628157,82.7,10.5,2.0,5.2,150.0,21.0,262.5,3150.0,1,la Dreta de l'Eixample
180478,24.4,13.2,3.0,7.4,30.0,26.4,99.1,1188.9,1,el Raval
30425345,82.2,4.5,1.0,18.8,50.0,9.0,18.8,225.0,1,el Poblenou
39633156,49.6,0.5,1.0,7.2,45.0,1.0,1.9,22.5,1,la Barceloneta
10116421,86.6,12.5,0.0,17.9,120.0,25.0,0.0,0.0,1,l'Antiga Esquerra de l'Eixample
21061895,25.2,1.5,3.0,2.6,80.0,3.0,30.0,360.0,1,el Camp de l'Arpa del Clot
31538123,35.9,0.5,1.0,1.6,34.0,1.0,1.4,17.0,1,la Vila de Grcia
35504393,86.8,10.5,1.0,14.3,80.0,21.0,70.0,840.0,1,el Raval
819468,93.0,3.5,5.0,4.5,98.0,7.0,285.8,3430.0,2,la Dreta de l'Eixample
