,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
7532400,2.0,41.398539,2.180314,4.0,150.0,Apartment,4.5,Entire home/apt,el Fort Pienc,99.73,3.0,0.412087912088,75.0
7544047,3.0,41.376362,2.175543,2.0,35.0,Apartment,4.0,Private room,el Raval,0.27,5.0,0.416666666667,14.5833333333
755382,3.0,41.397483,2.159647,1.0,130.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,69.32,5.0,4.22535211268,27.0833333333
7554465,2.0,41.399552,2.176205,1.0,33.0,Apartment,4.5,Private room,el Fort Pienc,67.4,6.0,0.412087912088,8.25
7563266,3.0,41.413915,2.190519,1.0,15.0,Apartment,3.5,Private room,el Clot,99.73,2.0,3.14371257485,1.25
756580,2.0,41.399472,2.162089,3.0,76.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,80.0,17.0,2.19298245614,161.5
7575022,2.0,41.394455,2.159035,2.0,99.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,99.73,8.0,0.530035335689,66.0
7586766,5.0,41.390784,2.145806,1.0,25.0,Apartment,3.5,Private room,l'Antiga Esquerra de l'Eixample,90.96,4.0,5.40166204986,4.16666666667
7588926,2.0,41.411709,2.181695,4.0,15.0,Apartment,5.0,Private room,el Camp de l'Arpa del Clot,6.3,4.0,3.45394736842,10.0
7591859,2.0,41.387167,2.17721,2.0,141.0,Apartment,4.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",58.9,14.0,7.69230769231,164.5
7605992,3.0,41.454128,2.183467,2.0,35.0,House,5.0,Private room,Torre Bar,99.45,4.0,4.83870967742,11.6666666667
7607240,2.0,41.39764,2.157428,2.0,33.0,Apartment,5.0,Private room,la Vila de Grcia,99.73,1.0,5.02793296089,2.75
7607649,2.0,41.379183,2.190566,1.0,25.0,Apartment,4.5,Private room,la Barceloneta,99.73,7.0,100.0,7.29166666667
7611627,2.0,41.417779,2.178747,1.0,70.0,Apartment,4.5,Entire home/apt,el Guinard,35.62,2.0,2.06043956044,5.83333333333
7613318,3.0,41.396434,2.178232,1.0,15.0,Apartment,4.5,Private room,el Fort Pienc,98.08,9.0,1.03806228374,5.625
7617260,2.0,41.382445,2.164035,1.0,61.0,Apartment,4.0,Entire home/apt,el Raval,59.18,15.0,18.4534883721,38.125
7625619,4.0,41.378385,2.177059,2.0,44.0,Apartment,4.5,Private room,el Barri Gtic,96.44,18.0,0.415512465374,66.0
762947,2.0,41.367515,2.134606,1.0,26.0,Bed & Breakfast,4.5,Private room,la Bordeta,99.73,32.67,11.9132231405,35.3925
7635579,3.0,41.38286,2.133083,1.0,40.0,Apartment,4.0,Entire home/apt,les Corts,87.95,10.0,2.06043956044,16.6666666667
7640752,4.0,41.384152,2.183174,3.0,89.0,Apartment,3.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",99.73,3.0,27.5516528926,33.375
7642334,2.0,41.379496,2.150725,3.0,16.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,35.62,5.0,13.3333333333,10.0
7642708,2.0,41.384788,2.183828,1.0,33.0,Condominium,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",99.73,4.0,14.4230769231,5.5
7647208,2.0,41.392178,2.185381,2.0,39.0,Apartment,5.0,Private room,el Parc i la Llacuna del Poblenou,98.08,19.0,2.88461538462,61.75
7650106,3.0,41.380363,2.176612,1.0,50.0,Apartment,4.5,Entire home/apt,el Barri Gtic,53.97,23.0,2.4861878453,47.9166666667
7650184,2.0,41.394969,2.179919,3.0,40.0,Condominium,5.0,Private room,el Fort Pienc,39.18,2.0,6.59340659341,10.0
765443,4.0,41.385807,2.176626,2.0,18.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",92.88,34.49,5.29411764706,51.735
7656651,2.0,41.413573,2.152386,2.0,30.0,Apartment,4.5,Private room,la Salut,99.73,9.0,3.61445783133,22.5
7659324,3.0,41.408679,2.209954,4.0,141.0,Apartment,4.5,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,35.07,2.0,2.21893491124,47.0
7669274,3.0,41.402689,2.182936,1.0,22.0,Apartment,3.5,Private room,la Sagrada Famlia,34.79,4.0,11.1111111111,3.66666666667
7671463,2.0,41.377023,2.161287,1.0,30.0,Apartment,5.0,Private room,Sant Antoni,93.42,19.0,1.875,23.75
7674436,2.0,41.390068,2.155927,1.0,49.0,Apartment,5.0,Private room,l'Antiga Esquerra de l'Eixample,98.63,3.0,5.57275541796,6.125
7674621,11.0,41.402413,2.150746,1.0,25.0,Apartment,4.5,Private room,la Vila de Grcia,68.49,24.0,0.824175824176,25.0
7683804,5.0,41.402834,2.173533,1.0,24.0,Apartment,4.5,Private room,la Sagrada Famlia,96.99,5.0,6.37393767705,5.0
7686471,2.0,41.381833,2.180615,3.0,85.0,Apartment,5.0,Entire home/apt,el Barri Gtic,34.52,1.0,0.561797752809,10.625
