,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
1038202,2.0,41.401054,2.174677,2.0,20.0,Apartment,4.5,Private room,la Sagrada Famlia,92.88,39.16,89.3382352941,65.2666666667
1038306,0.0,41.401764,2.1746,2.0,25.0,Apartment,4.5,Private room,la Sagrada Famlia,97.26,41.84,13.7873831776,87.1666666667
1038464,1.0,41.38048,2.152418,2.0,45.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,92.05,16.0,13.6793002915,60.0
1038902,3.0,41.399201,2.191039,1.0,50.0,Apartment,4.5,Private room,el Parc i la Llacuna del Poblenou,96.71,62.01,19.4343065693,129.1875
1038904,0.0,41.40016,2.1909,1.0,50.0,Apartment,4.5,Private room,el Parc i la Llacuna del Poblenou,99.45,59.16,0.412087912088,123.25
1039162,0.0,41.40686,2.16268,3.0,140.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,88.22,24.84,0.842696629213,434.7
1039196,3.0,41.373354,2.162149,2.0,40.0,Apartment,4.5,Entire home/apt,el Poble Sec,92.33,26.5,11.5136363636,88.3333333333
1039211,0.0,41.406998,2.203119,3.0,110.0,Apartment,4.5,Entire home/apt,el Poblenou,78.9,14.0,4.17956656347,192.5
104485,1.0,41.391189,2.156415,3.0,29.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,93.97,31.28,24.7663551402,113.39
1049729,0.0,41.39027,2.186755,3.0,119.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",99.73,1.0,13.9567164179,14.875
1049885,0.0,41.389921,2.186692,3.0,133.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",97.53,2.0,3.70879120879,33.25
1049897,0.0,41.404886,2.172513,3.0,117.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,90.41,25.33,3.70879120879,370.45125
1052151,1.0,41.444168,2.165435,2.0,66.0,Apartment,4.5,Entire home/apt,Canyelles,88.49,9.0,35.5588235294,49.5
1054810,0.0,41.380924,2.171747,1.0,26.0,Apartment,4.0,Private room,el Raval,91.51,34.66,8.10810810811,37.5483333333
1054906,4.0,41.381303,2.170745,1.0,20.0,Apartment,4.0,Private room,el Raval,85.21,35.66,7.21153846154,29.7166666667
1056112,0.0,41.377106,2.152734,1.0,26.0,Apartment,4.5,Private room,Sant Antoni,87.95,53.0,5.97609561753,57.4166666667
1056132,2.0,41.379445,2.16334,2.0,40.0,Apartment,4.5,Private room,el Raval,79.45,22.33,26.9566473988,74.4333333333
1060042,1.0,41.38197,2.160836,1.0,29.0,Apartment,4.5,Private room,Sant Antoni,91.78,31.17,1.11524163569,37.66375
1060411,1.0,41.380198,2.169338,2.0,54.0,Apartment,5.0,Private room,el Raval,99.73,9.0,16.5041436464,40.5
1060580,1.0,41.401502,2.169755,1.0,200.0,Apartment,4.5,Private room,la Dreta de l'Eixample,99.73,9.0,22.0980662983,75.0
1060614,1.0,41.396861,2.181172,2.0,95.0,Apartment,5.0,Entire home/apt,el Fort Pienc,79.18,68.51,7.16560509554,542.370833333
1062043,1.0,41.391043,2.191768,2.0,135.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,99.73,17.5,9.30656934307,196.875
1064989,0.0,41.384436,2.164816,1.0,35.0,Apartment,4.5,Private room,el Raval,94.79,62.18,16.8962264151,90.6791666667
1068375,1.0,41.425673,2.202453,3.0,50.0,Apartment,4.5,Entire home/apt,la Verneda i la Pau,98.9,17.67,19.1089285714,110.4375
1070511,1.0,41.407163,2.154074,1.0,30.0,Apartment,4.0,Private room,la Vila de Grcia,99.18,39.83,7.10434782609,49.7875
1071608,0.0,41.377465,2.15335,1.0,18.0,Apartment,4.5,Private room,Sant Antoni,99.18,53.33,4.12087912088,39.9975
1072256,2.0,41.373799,2.155895,5.0,43.0,Apartment,4.5,Private room,el Poble Sec,95.07,22.0,100.0,197.083333333
1073748,1.0,41.415166,2.105846,3.0,150.0,Apartment,5.0,Entire home/apt,"Vallvidrera, el Tibidabo i les Planes",86.03,15.0,9.125,281.25
1074100,0.0,41.374426,2.16064,2.0,70.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.89,39.67,0.412087912088,231.408333333
1076229,1.0,41.423174,2.14807,2.0,180.0,Apartment,4.5,Entire home/apt,la Teixonera,99.73,7.0,16.313559322,105.0
1077754,2.0,41.388217,2.177055,2.0,50.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",87.12,35.82,12.4592833876,149.25
1078046,1.0,41.390805,2.169355,2.0,50.0,Dorm,4.5,Private room,la Dreta de l'Eixample,99.73,14.67,5.20408163265,61.125
1078049,5.0,41.3844,2.158912,3.0,80.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,94.52,16.34,18.8545081967,163.4
1078585,0.0,41.382439,2.132867,1.0,34.0,Apartment,4.5,Private room,les Corts,99.73,10.0,17.7207207207,14.1666666667
1081892,2.0,41.393537,2.182829,3.0,27.0,Apartment,4.0,Private room,el Fort Pienc,95.34,21.17,3.18181818182,71.44875
1082228,0.0,41.410487,2.148353,3.0,80.0,Apartment,0.0,Entire home/apt,la Salut,99.73,1.0,23.285198556,10.0
1082363,0.0,41.410492,2.147238,3.0,80.0,Apartment,5.0,Entire home/apt,Vallcarca i els Penitents,99.73,1.0,12.2549019608,10.0
1082641,0.0,41.406253,2.181303,1.0,39.0,Apartment,4.0,Private room,la Sagrada Famlia,96.99,38.5,11.0644599303,62.5625
1083115,0.0,41.373791,2.157042,2.0,25.0,Apartment,4.5,Private room,el Poble Sec,99.18,41.66,5.83928571429,86.7916666667
1085881,0.0,41.393868,2.193687,3.0,91.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,84.11,25.5,13.5,290.0625
1086536,2.0,41.384889,2.181679,1.0,15.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",91.23,39.34,3.92156862745,24.5875
1088355,0.0,41.37742,2.162956,3.0,139.0,Apartment,4.5,Entire home/apt,Sant Antoni,98.08,11.0,1.31578947368,191.125
1093633,1.0,41.385058,2.18276,1.0,41.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",90.41,7.0,8.70926966292,11.9583333333
1094478,1.0,41.399271,2.160451,2.0,25.0,Apartment,4.5,Private room,la Vila de Grcia,83.84,25.0,9.06593406593,52.0833333333
1094534,3.0,41.376522,2.153119,3.0,39.0,Apartment,4.5,Private room,Sant Antoni,78.63,21.17,5.71646341463,103.20375
1094547,0.0,41.376549,2.152747,3.0,27.0,Apartment,5.0,Private room,Sant Antoni,99.73,14.17,4.82142857143,47.82375
1094847,0.0,41.400784,2.12038,2.0,62.0,Apartment,4.0,Entire home/apt,Sarri,85.75,28.17,16.0828651685,145.545
1096442,1.0,41.404712,2.206369,1.0,43.0,House,4.0,Private room,el Poblenou,99.45,5.0,7.71028037383,8.95833333333
