,longitude,latitude,price
7240609,2.15998,41.396202,59.0
1692008,2.138091,41.37674,79.0
1204581,2.172705,41.409476,30.0
7704505,2.190357,41.378653,50.0
1258555,2.182192,41.396565,100.0
6841715,2.200713,41.404457,257.0
8877394,2.161662,41.399705,120.0
4743831,2.197299,41.406814,83.0
1830227,2.120613,41.400177,75.0
1411945,2.165465,41.400807,94.0
7761614,2.157322,41.40226,40.0
6960679,2.177672,41.402367,117.0
12008190,2.173104,41.381569,180.0
825119,2.216102,41.406083,320.0
9571281,2.176671,41.381607,40.0
11197113,2.113956,41.386849,50.0
1603941,2.15383,41.404243,35.0
11373820,2.166373,41.385612,70.0
101021,2.174472,41.380306,230.0
11753348,2.170991,41.403661,25.0
128463,2.136366,41.372424,35.0
4026343,2.182942,41.402465,180.0
875171,2.143924,41.387832,70.0
11388287,2.160767,41.380953,250.0
1772704,2.191233,41.455161,50.0
6841714,2.195472,41.406906,257.0
9939124,2.1489,41.374672,50.0
7252785,2.160716,41.37773,28.0
577917,2.165404,41.375547,90.0
7451229,2.136392,41.404848,65.0
6128422,2.193706,41.410099,11.0
7674436,2.155927,41.390068,49.0
1891083,2.170707,41.397792,75.0
6919263,2.20019,41.394885,32.0
4292877,2.151549,41.376848,81.0
270050,2.180002,41.38466,48.0
10410622,2.131125,41.378112,46.0
9701470,2.161752,41.378807,115.0
3916107,2.149731,41.380653,25.0
522987,2.181697,41.399683,18.0
3329135,2.189697,41.393846,58.0
4389834,2.210297,41.400642,185.0
6511143,2.139202,41.412681,65.0
2892755,2.188232,41.410368,19.0
10372858,2.164459,41.389521,110.0
2495068,2.162439,41.373331,74.0
6268739,2.161018,41.375139,25.0
9309845,2.186341,41.392906,110.0
256354,2.139245,41.412694,30.0
11730685,2.157809,41.405614,65.0
1908396,2.212039,41.414814,59.0
12040757,2.178889,41.407506,24.0
6369953,2.174152,41.405897,30.0
8397425,2.185556,41.396805,35.0
5502580,2.171669,41.405136,100.0
6369482,2.213182,41.413774,35.0
7832644,2.189835,41.382325,50.0
7320777,2.175023,41.406558,20.0
8517162,2.166387,41.403917,30.0
