,24h_checkin,Air_conditioning,Bedroom_lock,Breakfast,Elevator,Essentials,Heating,Internet,Kitchen,Pets_allowed,Smoking_allowed,TV,Washer,accommodates,bathrooms,bedrooms,cancel_pol,host_id,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost,neighbourhood,January,February,March,April,May,June,July,August,September,October,November,December,Total_days,Availability,Ja_rcounts,Fe_rcounts,Mar_rcounts,Ap_rcounts,May_rcounts,Jun_rcounts,Jul_rcounts,Au_rcounts,Se_rcounts,Oc_rcounts,No_rcounts,De_rcounts,Total_rcounts,Est_bookings,Occupancy_rate,Income_year,Income_month
6446373,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,0.0,2.0,strict,33653660,1.0,41.409408,2.136179,30.0,170.0,Apartment,4.0,Entire home/apt,0,Sant Gervasi - la Bonanova,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.09497206704,2550.0,212.5
6447941,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,moderate,33665295,1.0,41.373663,2.148742,2.0,39.0,Condominium,5.0,Private room,0,el Poble Sec,28,24,31,30,31,30,31,31,30,31,30,31,358.0,98.08,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,13.0,6.5,1.23966942149,507.0,42.25
6448693,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,2.0,flexible,13533704,1.0,41.372318,2.166535,1.0,52.0,Apartment,4.0,Entire home/apt,0,el Poble Sec,0,0,0,0,1,6,0,0,0,0,0,0,7.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,2.5,0.826446280992,130.0,10.8333333333
6449285,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,1.0,flexible,14257329,2.0,41.390849,2.163323,2.0,40.0,Apartment,4.5,Private room,0,la Dreta de l'Eixample,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,12.0,6.0,6.50142857143,480.0,40.0
6449766,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,strict,12928854,1.0,41.375039,2.156003,2.0,25.0,Apartment,4.5,Private room,0,el Poble Sec,27,29,31,30,31,30,31,31,30,31,30,31,362.0,99.18,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,2.0,0.0,0.0,14.0,7.0,1.23966942149,350.0,29.1666666667
6454077,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,33666330,1.0,41.373165,2.165001,6.0,70.0,Apartment,4.5,Entire home/apt,0,el Poble Sec,27,29,31,30,31,30,31,31,30,31,30,31,362.0,99.18,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,10.0,5.0,4.71428571429,2100.0,175.0
6454439,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,moderate,7854279,0.0,41.405011,2.1452,3.0,70.0,Apartment,5.0,Entire home/apt,0,el Putxet i el Farr,29,0,0,0,0,0,0,0,0,4,30,31,94.0,25.75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,12.3475609756,315.0,26.25
645513,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,2.0,strict,3041333,1.0,41.396982,2.201165,3.0,90.0,Apartment,4.5,Entire home/apt,0,el Poblenou,28,29,31,30,30,24,31,31,30,31,30,31,356.0,97.53,2.0,2.0,0.0,2.67,2.5,3.0,1.33,2.5,3.33,2.67,1.67,0.0,23.67,11.835,100.0,3195.45,266.2875
6455233,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,28012645,0.0,41.37892,2.169875,2.0,40.0,Apartment,5.0,Private room,0,el Raval,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,6.31395348837,40.0,3.33333333333
645580,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,3233174,0.0,41.400689,2.157737,2.0,49.0,Apartment,4.5,Entire home/apt,0,la Vila de Grcia,29,29,31,27,31,21,31,31,30,31,30,31,352.0,96.44,2.0,1.0,0.0,1.5,4.0,4.0,3.5,2.0,3.5,3.75,1.67,1.0,27.92,13.96,1.92445054945,1368.08,114.006666667
6456174,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,strict,7392572,3.0,41.402995,2.157636,1.0,15.0,Apartment,4.5,Private room,0,la Vila de Grcia,23,29,31,30,31,30,31,31,30,31,0,6,303.0,83.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,3.09917355372,7.5,0.625
6457149,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,moderate,33719062,1.0,41.380377,2.174079,1.0,40.0,Apartment,5.0,Private room,1,el Barri Gtic,12,11,11,12,16,22,12,31,30,31,30,31,249.0,68.22,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,16.0,8.0,7.8488372093,320.0,26.6666666667
6457302,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,1.0,moderate,12772429,1.0,41.378804,2.157789,1.0,40.0,Apartment,5.0,Private room,0,Sant Antoni,1,0,0,0,0,18,31,31,30,31,30,31,203.0,55.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,41.7721518987,40.0,3.33333333333
6459682,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,flexible,10488788,1.0,41.391114,2.18437,1.0,30.0,Apartment,4.5,Private room,0,el Parc i la Llacuna del Poblenou,27,29,31,30,31,30,31,31,30,31,30,31,362.0,99.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.76923076923,30.0,2.5
